Provinsi,Populasi
Aceh,5288885
Sumatera Utara,15032170
Sumatera Barat,5568881
Riau,6220680
Jambi,3497833
Sumatera Selatan,8342101
Bengkulu,2014369
Lampung,9062766
Kepulauan Bangka Belitung,1406583
Kepulauan Riau,1983597
Daerah Khusus Ibukota Jakarta,11100929
Jawa Barat,46092205
Jawa Tengah,36896752
Daerah Istimewa Yogyakarta,3668304
Jawa Timur,40963227
Banten,11042523
Bali,4261909
Nusa Tenggara Barat,5321552
Nusa Tenggara Timur,5452967
Kalimantan Barat,5457352
Kalimantan Tengah,2602119
Kalimantan Selatan,4070320
Kalimantan Timur,3661161
Kalimantan Utara,663696
Sulawesi Utara,2659987
Sulawesi Tengah,2987711
Sulawesi Selatan,9175971
Sulawesi Tenggara,2649845
Gorontalo,1189685
Sulawesi Barat,1563289
Maluku,1864335
Maluku Utara,1318178
Papua Barat,1146666
Papua,4354468
Indonesia,268583016
